,Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
86,792,GJ 896 A b,GJ 896 A,Gaia DR2 2824770686019003904,1,2,1,Astrometry,2022,Very Long Baseline Array,Published Confirmed,0,<a refstr=CURIEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...93C/abstract target=ref>Curiel et al. 2022</a>,284.39,0.63965,,,2.26,0,<a refstr=CURIEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...93C/abstract target=ref>Curiel et al. 2022</a>,M3.5 V,,,0.44,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m52.81s,352.9700384,+19d56m13.20s,19.9370011,580.6759005,577.605,-59.6403,6.26022,10.05,5.326,9.03758,2022-09-14,2022-09,14/09/2022
99,2297,HD 160691 b,HD 160691,Gaia DR2 5945941905576552064,1,1,4,Radial Velocity,2000,Anglo-Australian Telescope,Published Confirmed,0,<a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>,645.0,,,,4.3,0,<a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>,G3 IV-V,5773.0,1.33,1.13,0.28,[Fe/H],4.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,191.5319109,-15.3104,-190.919,15.5981,5.12,3.683,4.94916,2022-08-01,2022-06,1/08/2022
121,3538,HD 87883 b,HD 87883,Gaia DR2 747266452000257280,0,1,1,Radial Velocity,2009,Lick Observatory,Published Confirmed,0,<a refstr=LI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..266L/abstract target=ref>Li et al. 2021</a>,3006.0,3.77,,,6.31,0,<a refstr=LI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..266L/abstract target=ref>Li et al. 2021</a>,K0,,,0.8,0.11,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h08m43.06s,152.1794175,+34d14m31.19s,34.2419984,89.224207,-64.5653,-61.5815,18.2912,7.56,5.314,7.27194,2022-06-27,2021-12,27/06/2022
115,2938,HD 260655 b,HD 260655,Gaia DR2 3359074685047632640,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,2.76953,0.02933,1.24,0.111,0.00673,0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,M0 V,3803.0,0.44,0.44,-0.43,[Fe/H],5.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,835.8253883,-764.522,337.802,10.0055,9.63,5.862,8.876041,2022-06-27,2022-04,27/06/2022
21,158,AU Mic b,AU Mic,Gaia DR2 6794047652729201024,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.4629991,0.0645,,,0.0633,1,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,,,0.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,456.8630854,281.424,-359.895,9.7221,8.81,4.529,7.84038,2022-05-09,2021-12,9/05/2022
173,35666,WD 0806-661 b,WD 0806-661,Gaia DR2 5274517467840296832,1,1,1,Imaging,2011,Spitzer Space Telescope,Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...732L..29R/abstract target=ref> Rodriguez et al. 2011 </a>,,2500.0,,,8.0,0,<a refstr=RODRIGUEZ_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...732L..29R/abstract target=ref> Rodriguez et al. 2011 </a>,DQ,,,0.62,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h06m54.62s,121.7275683,-66d18m21.18s,-66.3058835,442.7731538,335.547,-288.888,19.2444,13.855,13.781,13.6826,2022-04-12,2011-05,12/04/2022
56,629,GJ 3929 b,GJ 3929,Gaia DR2 1372215976327300480,0,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KEMMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220200970K/abstract target=ref>Kemmer et al. 2022</a>,2.6162745,0.02569,1.15,0.103,0.00381,0,<a refstr=KEMMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220200970K/abstract target=ref>Kemmer et al. 2022</a>,M3.5 V,3369.0,0.32,0.31,0.0,[Fe/H],4.84,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,348.9865767,-143.277,318.219,15.8095,12.675,7.869,11.5109,2022-02-22,2022-02,22/02/2022
146,32760,LTT 1445 A b,LTT 1445 A,Gaia DR2 5153091836072107136,0,3,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,5.3587657,0.03813,1.305,0.116,0.00903,0,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,,3340.0,0.27,0.26,-0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,456.5121099,-369.196,-268.51,6.86929,10.59,6.496,10.0469,2022-01-24,2021-07,24/01/2022
54,623,GJ 367 b,GJ 367,Gaia DR2 5412250540681250560,0,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,0.321962,0.0071,0.718,0.064,0.00172,0,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,M1.0 V,3522.0,0.46,0.45,-0.01,[Fe/H],4.78,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,744.05896,-462.549,-582.814,9.41263,10.153,5.78,9.15159,2021-12-02,2021-12,2/12/2021
144,32724,LHS 1678 b,LHS 1678,Gaia DR2 4864160624337973248,0,2,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,0.8602322,0.01251,0.696,0.062,0.0011,0,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,M2.0 V,3490.0,0.33,0.34,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h32m42.96s,68.1789866,-39d47m27.15s,-39.7908744,996.9452302,239.41,-967.772,19.8782,12.6,8.264,11.5403,2021-11-02,2022-04,2/11/2021
32,220,COCONUTS-2 b,COCONUTS-2 A,Gaia DR2 5213167330349528064,1,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),Published Confirmed,0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,402000000.0,7506.0,12.442,1.11,6.3,0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,M3 V,3406.0,0.39,0.37,0.0,[Fe/H],4.83,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h49m12.22s,117.300914,-76d42m09.71s,-76.702696,218.5285982,-101.997,-193.265,10.8864,11.298,6.579,10.146,2021-08-16,2021-08,16/08/2021
149,32764,LTT 3780 b,LTT 3780,Gaia DR2 3767281845873242112,0,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.173N/abstract target=ref>Nowak et al. 2020</a>,0.768377,0.01203,1.35,0.12,0.00736,0,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.173N/abstract target=ref>Nowak et al. 2020</a>,M3.5 V,3360.0,0.38,0.38,0.09,[Fe/H],4.81,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,421.9000381,-341.409,-247.87,21.9814,13.14,8.204001,11.8465,2021-08-03,2020-10,3/08/2021
170,33923,TOI-270 b,TOI-270,Gaia DR2 4781196115469953024,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=VAN_EYLEN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2154V/abstract target=ref>Van Eylen et al. 2021</a>,3.3601538,0.03197,1.206,0.108,0.00497,0,<a refstr=VAN_EYLEN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2154V/abstract target=ref>Van Eylen et al. 2021</a>,M,3506.0,0.38,0.39,-0.2,[Fe/H],4.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h33m39.86s,68.4160804,-51d57m26.62s,-51.9573937,282.2188579,82.9441,-269.755,22.4793,12.603,8.251,11.6306,2021-08-03,2021-10,3/08/2021
117,3132,HD 39091 b,HD 39091,Gaia DR2 4623036865373793408,0,1,3,Radial Velocity,2001,Anglo-Australian Telescope,Published Confirmed,0,<a refstr=VENNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...12V/abstract target=ref>Venner et al. 2021</a>,2091.0,3.308,,,12.9,0,<a refstr=HUANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...868L..39H/abstract target=ref>Huang et al. 2018</a>,G0 V,6037.0,1.1,1.09,0.08,[Fe/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m11.83s,84.2992798,-80d27m52.57s,-80.4646041,1094.030482,311.187,1048.84,18.2702,5.65,4.241,5.5128,2021-07-26,2021-07,26/07/2021
137,32710,LHS 1140 b,LHS 1140,Gaia DR2 2371032916186181760,0,1,2,Transit,2017,MEarth Project,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.121L/abstract target=ref>Lillo-Box et al. 2020</a>,24.73694,0.0957,1.635,0.146,0.02007,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.121L/abstract target=ref>Lillo-Box et al. 2020</a>,,2988.0,0.21,0.19,-0.262,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,675.8787442,317.585,-596.617,14.9861,14.15,8.821,12.6706,2021-05-17,2020-10,17/05/2021
67,681,GJ 486 b,GJ 486,Gaia DR2 3735000631158990976,1,1,1,Radial Velocity,2021,Calar Alto Observatory,Published Confirmed,0,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,1.467119,0.01734,1.305,0.116,0.00887,0,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,M3.5 V,3340.0,0.33,0.32,0.07,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h47m55.57s,191.981531,+09d44m57.91s,9.7494181,1108.4629,-1008.6,-459.8,8.07426,11.39,6.362,10.094,2021-03-15,2021-03,18/03/2021
1,71,55 Cnc b,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>,14.465314,0.11339,,,0.84,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,2021-02-05,2014-06,21/08/2014
91,2072,HD 136352 b,HD 136352,Gaia DR2 5902750168276592256,0,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,11.57779,0.0969,1.482,0.132,0.01454,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,,5850.0,1.01,0.91,-0.25,[Fe/H],4.38,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,1647.339568,-1624.05,-276.024,14.682,5.65,4.159,5.48495,2020-12-10,2020-09,17/12/2020
164,33432,Ross 458 c,Ross 458,Gaia DR2 3737308025028857600,1,2,1,Imaging,2010,Las Campanas Observatory,Published Confirmed,0,<a refstr=BURGASSER_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...725.1405B/abstract target=ref> Burgasser et al. 2010 </a>,,1100.0,14.011,1.25,6.0,0,<a refstr=BURGASSER_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...725.1405B/abstract target=ref> Burgasser et al. 2010 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h00m45.89s,195.1912147,+12d22m32.16s,12.3755996,633.1763223,-632.151,-36.019,11.5094,9.76,5.578,8.90809,2020-09-18,2010-12,24/09/2020
182,35799,eps Eri b,eps Eri,Gaia DR2 5164707970261630080,0,1,1,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=HATZES_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...544L.145H/abstract target=ref> Hatzes et al. 2000 </a>,2502.1,3.4,,,1.7,0,<a refstr=HATZES_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...544L.145H/abstract target=ref> Hatzes et al. 2000 </a>,,,,0.85,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m54.82s,53.2284306,-09d27m29.42s,-9.4581715,975.5865066,-975.376,20.2655,3.2026,3.71548,1.776,3.47719,2020-09-08,2000-12,3/09/2015
51,578,GJ 317 b,GJ 317,Gaia DR2 5701750711020088192,0,1,2,Radial Velocity,2007,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ANGLADA_ESCUDE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...746...37A/abstract target=ref> Anglada-Escud&eacute; et al. 2012 </a>,692.0,1.15,,,2.5,0,<a refstr=ANGLADA_ESCUDE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...746...37A/abstract target=ref> Anglada-Escud&eacute; et al. 2012 </a>,M2.5 V,3510.0,,0.42,0.36,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m58.69s,130.2445254,-23d27m10.11s,-23.452809,928.2322049,-461.162,805.571,15.1968,12.4,7.028,10.7539,2020-09-08,2012-02,27/08/2014
