Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,epoch,ra_corrected,dec_corrected
33922,TOI-270 b,TOI-270,Gaia DR2 4781196115469953024,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=G_UUML_NTHER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1099G/abstract target=ref>G&uuml;nther et al. 2019</a>,3.36008,0.0306,1.247,0.111,,0,<a refstr=G_UUML_NTHER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1099G/abstract target=ref>G&uuml;nther et al. 2019</a>,M3.0 V,3386.0,0.38,0.4,-0.17,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h33m39.86s,68.4160804,-51d57m26.62s,-51.9573937,282.2188579,82.9441,-269.755,22.4793,12.603,8.251,11.6306,2019-07-29,2019-07,1/08/2019,60304.628796296296,68.41639759847926,-51.958029416773876
32757,LSPM J2116+0234 b,LSPM J2116+0234,Gaia DR2 2692455319291894400,1,1,1,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed,0,<a refstr=LALITHA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A.116L/abstract target=ref>Lalitha et al. 2019</a>,14.4399,0.0876,,,,0,<a refstr=LALITHA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A.116L/abstract target=ref>Lalitha et al. 2019</a>,M3.0 V,3475.0,0.43,0.43,-0.05,[Fe/H],4.95,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h16m27.54s,319.1147513,+02d34m50.78s,2.5807711,250.6828196,247.523,-39.6767,17.6297,11.961,7.324,10.8595,2019-06-07,2019-07,13/06/2019,59568.41142361111,319.11519648670117,2.5806998110936323
3717,HIP 54373 b,HIP 54373,Gaia DR2 3552000252294347392,1,1,2,Radial Velocity,2019,Las Campanas Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,7.76,0.063,,,,0,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,K5 V,4021.0,,0.57,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m27.44s,166.8643532,-19d17m30.07s,-19.2916857,239.4759005,-235.019,-45.9867,18.7168,10.38,6.62,9.64076,2019-05-20,2019-06,23/05/2019,60314.87446759259,166.8637644528455,-19.291794431783693
3143,HD 39855 b,HD 39855,Gaia DR2 2966316109264052096,1,1,1,Radial Velocity,2019,Las Campanas Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,3.2498,0.041,,,,0,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,G8 V,5576.0,,0.87,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h54m30.26s,88.6260731,-19d42m16.01s,-19.7044472,96.0233904,92.8543,-24.4657,23.2599,7.51,5.756,7.32113,2019-05-20,2019-06,23/05/2019,60312.67332175926,88.62630613865214,-19.704505006538508
2796,HD 21749 c,GJ 143,Gaia DR2 4673947174316727040,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,7.78993,0.0695,0.892,0.08,0.01164,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640.0,0.69,0.73,0.003,[Fe/H],4.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.7501882,-63d30m00.60s,-63.500166,432.8060751,355.084,-247.46,16.32,8.08,5.375,7.67906,2019-04-22,2019-04,25/04/2019,60408.55296296296,51.75212656700143,-63.500768720869466
2525,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.2185752,0.031,12.756,1.138,1.123,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5040.0,0.76,0.81,-0.03,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,2019-03-18,2017-06,21/03/2019,59881.38759259259,300.1821150332134,22.709266750757436
2052,HD 134060 b,HD 134060,Gaia DR2 5876112300125320448,1,1,2,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,3.2696,0.0444,,,,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G3 IV,5966.0,,1.09,0.14,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h10m44.34s,227.6847587,-61d25m20.55s,-61.4223747,185.9811074,-185.588,-12.0858,24.0125,6.29,4.836,6.13951,2019-02-05,2019-02,7/02/2019,60203.32201388889,227.68387426820334,-61.42240224793853
32736,LHS 3844 b,LHS 3844,Gaia DR2 6385548541499112448,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,0.46292913,0.00622,1.303,0.116,,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,M5,3036.0,0.19,0.15,,,5.06,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h41m59.09s,340.4962038,-69d10m19.59s,-69.1721081,800.1786051,334.357,-726.974,14.8846,15.24,9.145001,13.3925,2019-01-22,2019-02,24/01/2019,60224.87909722222,340.4983630326161,-69.17377721574138
537,GJ 1265 b,GJ 1265,Gaia DR2 6825822095663585536,1,1,1,Radial Velocity,2018,Calar Alto Observatory,Published Confirmed,0,<a refstr=LUQUE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.171L/abstract target=ref>Luque et al. 2018</a>,3.6511,0.026,,,,0,<a refstr=LUQUE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.171L/abstract target=ref>Luque et al. 2018</a>,M4.5 V,3236.0,0.19,0.18,-0.04,[Fe/H],5.09,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h13m43.79s,333.4324675,-17d41m13.42s,-17.6870623,909.990783,856.89,-306.305,10.2525,14.01,8.115,12.0807,2018-12-03,2018-12,6/12/2018,59598.32261574074,333.43410396374594,-17.687619612356187
627,GJ 3779 b,GJ 3779,Gaia DR2 1446540213584440704,1,1,1,Radial Velocity,2018,Calar Alto Observatory,Published Confirmed,0,<a refstr=LUQUE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.171L/abstract target=ref>Luque et al. 2018</a>,3.0232,0.026,,,,0,<a refstr=LUQUE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.171L/abstract target=ref>Luque et al. 2018</a>,M4.0 V,3324.0,0.28,0.27,0.0,[Fe/H],5.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h22m56.05s,200.7335358,+24d27m50.19s,24.4639425,1061.999101,-615.951,-865.128,13.743,13.04,7.957,11.6266,2018-12-03,2018-12,6/12/2018,60306.991631944446,200.73193985744388,24.461902136065778
