Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,epoch,ra_corrected,dec_corrected
33860,TOI-2373 b,TOI-2373,Gaia DR2 5097529733950580736,0,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,13.3368173,,11.245,1.003,,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5517.0,1.2,,,,4.26,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h06m44.69s,61.6862197,-16d45m20.72s,-16.7557546,40.7690492,11.2887,-39.175,508.686,13.251,11.586,13.0711,2024-03-06,2017-07,6/03/2024,59239.46960648148,61.68623793298936,-16.755815187192198
33981,TOI-3884 b,TOI-3884,Gaia DR2 3919169687804622336,0,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,4.5445569,,5.718,0.51,,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3192.0,0.3,,,,4.92,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h06m17.24s,181.5718341,+12d30m25.29s,12.5070258,187.8532276,-186.01,26.251,43.1448,15.744,10.24,14.2747,2024-03-06,2017-07,6/03/2024,59881.54199074074,181.57144639076606,12.507079217438987
33870,TOI-2416 b,TOI-2416,Gaia DR2 4680527991927519744,0,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,8.2754608,,11.545,1.03,,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5515.2,1.39,,,,4.24,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h49m21.35s,57.3389409,-60d47m13.87s,-60.7871861,13.3430768,8.64411,-10.1645,557.733,13.019,11.511,12.8909,2024-03-06,2017-07,6/03/2024,59527.6910300926,57.338972174264576,-60.78720404821081
34323,Teegarden's Star b,Teegarden's Star,Gaia DR2 35227046884571776,1,1,3,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240200923D/abstract target=ref>Dreizler et al. 2024</a>,4.90634,0.0259,,,,0,<a refstr=DREIZLER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240200923D/abstract target=ref>Dreizler et al. 2024</a>,,3034.0,0.12,0.1,-0.11,[Fe/H],5.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,5123.33192,3429.53,-3806.16,3.83078,15.13,7.585,12.2746,2024-03-05,2024-02,5/03/2024,60305.57050925926,43.27759248043627,16.855929727364273
1300,HAT-P-57 b,HAT-P-57,Gaia DR2 4483640815570090368,0,3,1,Transit,2015,HATNet,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,2.46529488,,,,,0,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..197H/abstract target=ref>Hartman et al. 2015</a>,A8 V,7500.0,1.5,1.47,-0.25,[Fe/H],4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h18m58.42s,274.743418,+10d35m49.91s,10.5971968,14.8748682,-4.59948,-14.1459,279.86,10.639,9.433,10.4253,2024-03-04,2023-03,4/03/2024,60316.1744675926,274.7434069314852,10.597163338902714
1272,HAT-P-54 b,HAT-P-54,Gaia DR2 3383298227579280640,0,1,1,Transit,2015,HATNet,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,3.79985297,,,,,0,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,,4390.0,0.62,0.65,-0.127,[Fe/H],4.67,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h39m35.52s,99.8979924,+25d28m56.64s,25.4824005,33.2370806,-0.0732176,-33.237,143.651,13.398,10.326,13.0172,2024-03-04,2023-03,4/03/2024,60301.72483796296,99.89799220903639,25.48232224554135
1881,HD 110113 b,HD 110113,Gaia DR2 6133384959942131968,0,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,2.54047309,,,,,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,G,5732.0,0.97,1.0,0.14,[Fe/H],4.46,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,14.1817746,-3.72326,-13.6843,106.307,10.09,8.502,9.91036,2024-03-04,2023-03,4/03/2024,59952.11554398148,190.03655273243365,-44.31210628041657
34457,WASP-10 b,WASP-10,Gaia DR2 1909762228985058944,0,1,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,3.09272813,,,,,0,<a refstr=CHRISTIAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009MNRAS.392.1585C/abstract target=ref> Christian et al. 2009 </a>,,4675.0,0.78,0.7,0.03,[M/H],4.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m58.33s,348.9930457,+31d27m45.90s,31.4627508,35.6238642,25.1101,-25.2694,140.998,12.413,9.983,12.1739,2024-03-04,2023-03,4/03/2024,59215.385671296295,348.9930906891043,31.462712181732805
34604,WASP-124 b,WASP-124,Gaia DR2 6614751532833886464,0,1,1,Transit,2016,SuperWASP-South,Published Confirmed,0,<a refstr=MCGRUDER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..120M/abstract target=ref>McGruder et al. 2023</a>,3.372651,,,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h10m51.44s,332.7143373,-30d44m58.99s,-30.7497189,14.5329419,-0.709759,-14.5156,448.637,12.724,11.31,12.5754,2024-03-04,2023-09,4/03/2024,60245.43530092593,332.714335390897,-30.749752454683325
34792,WASP-161 b,WASP-161,Gaia DR2 5751177095877066496,0,1,1,Transit,2018,SuperWASP-South,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,5.4056202,,,,,0,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,,6400.0,1.71,1.39,0.16,[Fe/H],4.11,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h25m21.08s,126.3378248,-11d30m03.56s,-11.5009889,5.4201637,-5.38829,-0.586946,343.08,11.079,9.837,10.8987,2024-03-04,2023-03,4/03/2024,,,
