,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
665,GJ 436 b,GJ 436,Gaia DR2 4017860992519744384,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,2.64385,0.02872,4.222,0.377,0.0729,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,,3350.0,0.46,0.45,-0.03,[Fe/H],4.84,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,1209.857678,895.047,-814.031,9.75321,10.67,6.073,9.57148,18/09/2014,2008-04,18/09/2014
666,GJ 436 b,GJ 436,Gaia DR2 4017860992519744384,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,2.64389524,0.02887,4.091,0.365,0.0737,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,,3500.0,0.45,0.46,-0.03,[Fe/H],4.79,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,1209.857678,895.047,-814.031,9.75321,10.67,6.073,9.57148,12/01/2016,2010-11,14/01/2016
670,GJ 436 b,GJ 436,Gaia DR2 4017860992519744384,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..126K/abstract target=ref> Knutson et al. 2014 </a>,,,,,0.0682,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..126K/abstract target=ref> Knutson et al. 2014 </a>,,,,0.45,-0.03,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,1209.857678,895.047,-814.031,9.75321,10.67,6.073,9.57148,7/10/2015,2014-04,15/10/2015
671,GJ 436 b,GJ 436,Gaia DR2 4017860992519744384,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,2.6,0.029,4.26,0.38,0.073,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,M2.5 V,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,1209.857678,895.047,-814.031,9.75321,10.67,6.073,9.57148,12/02/2015,2015-04,12/02/2015
674,GJ 436 b,GJ 436,Gaia DR2 4017860992519744384,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=SHPORER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...694.1559S/abstract target=ref> Shporer et al. 2009</a>,2.64386,0.02872,4.2,0.37,0.073,0,<a refstr=SHPORER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...694.1559S/abstract target=ref> Shporer et al. 2009</a>,,,0.45,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,1209.857678,895.047,-814.031,9.75321,10.67,6.073,9.57148,18/09/2014,2009-04,18/09/2014
676,GJ 436 b,GJ 436,Gaia DR2 4017860992519744384,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B/abstract target=ref>Bourrier et al. 2018</a>,2.64389803,,,,0.07992,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B/abstract target=ref>Bourrier et al. 2018</a>,,3479.0,0.45,0.45,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,1209.857678,895.047,-814.031,9.75321,10.67,6.073,9.57148,2/12/2019,2018-01,24/10/2019
681,GJ 486 b,GJ 486,Gaia DR2 3735000631158990976,1,1,1,Radial Velocity,2021,Calar Alto Observatory,Published Confirmed,0,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,1.467119,0.01734,1.305,0.116,0.00887,0,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,M3.5 V,3340.0,0.33,0.32,0.07,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h47m55.57s,191.981531,+09d44m57.91s,9.7494181,1108.4629,-1008.6,-459.8,8.07426,11.39,6.362,10.094,15/03/2021,2021-03,18/03/2021
683,GJ 504 b,GJ 504,Gaia DR2 3732539683617410816,1,1,1,Imaging,2013,Subaru Telescope,Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref> Kuzuhara et al. 2013 </a>,,43.5,,,4.0,0,<a refstr=KUZUHARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref> Kuzuhara et al. 2013 </a>,G0 V,6234.0,,1.22,0.28,[Fe/H],4.6,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h16m46.16s,199.192348,+09d25m29.92s,9.4249781,386.8630302,-336.664,190.579,17.5299,5.18799,4.033,5.04156,14/05/2014,2013-09,14/05/2014
719,GJ 676 A b,GJ 676 A,Gaia DR2 5925209583053212800,0,2,4,Radial Velocity,2010,La Silla Observatory,Published Confirmed,0,<a refstr=SAHLMANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...595A..77S/abstract target=ref>Sahlmann et al. 2016</a>,1051.1,1.812,,,6.7,0,<a refstr=SAHLMANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...595A..77S/abstract target=ref>Sahlmann et al. 2016</a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h30m10.77s,262.5448903,-51d38m16.00s,-51.6377777,317.0836723,-257.873,-184.509,16.0272,9.58,5.825,8.86517,25/04/2018,2016-11,29/09/2016
720,GJ 676 A b,GJ 676 A,Gaia DR2 5925209583053212800,1,2,4,Radial Velocity,2010,La Silla Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1051.44521,1.735,,,5.792,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.63,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h30m10.77s,262.5448903,-51d38m16.00s,-51.6377777,317.0836723,-257.873,-184.509,16.0272,9.58,5.825,8.86517,12/06/2023,2022-09,12/06/2023
